_id,LOC_ID,LOC_NAME,AUSPICE,ADDRESS,PCODE,ward,PHONE,bldg_type,BLDGNAME,IGSPACE,TGSPACE,PGSPACE,KGSPACE,SGSPACE,TOTSPACE,subsidy,run_date,geometry
1,1013,Lakeshore Community Child Care Centre,Non Profit Agency,101 SEVENTH ST,M8V 3B5,3,(416) 394-7601,Public Elementary School,Seventh Street Public School,0,20,32,52,60,164,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.50419384, 43.59992437)}"
2,1014,Alternative Primary School Parent Group,Non Profit Agency,1100 SPADINA RD,M5N 2M6,8,(416) 322-5385,Public Elementary School,North Preparatory Public School,0,0,12,26,45,83,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.42037489, 43.705765578)}"
3,1015,Cardinal Leger Child Care Centre (Scarborough),Non Profit Agency,600 MORRISH RD,M1C 4Y1,25,(416) 287-0578,Catholic Elementary School,Cardinal Leger Catholic School,0,10,16,26,50,102,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.175461625, 43.793287951)}"
4,1016,George Brown - Richmond Adelaide Childcare Centre,Non Profit Agency,130 ADELAIDE ST W,M5H 3P5,10,(416) 415-2453,Other,,10,15,40,0,0,65,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.3838124293, 43.6496909939)}"
5,1017,Woodland Nursery School (Warden Woods Community Centre),Non Profit Agency,1 FIRVALLEY CRT,M1L 1N8,20,(416) 694-1138x163,High Rise Apartment,,0,10,16,0,0,26,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.2810286285, 43.7029523574)}"
6,1021,Centennial College Progress Campus Child Care Centre,Non Profit Agency,941 PROGRESS AVE,M1G 3T8,24,(416) 289-5000x2110,Community College/University,Centennial College Of Applied Arts & Technology,10,20,32,0,0,62,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.2270296222, 43.785273273)}"
7,1029,Air-O-Down Child Care Centre,Non Profit Agency,7 HAWKSDALE RD,M3K 1W3,6,(416) 633-2014,Public High School,Downsview Secondary School,10,15,24,0,0,49,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.479517489, 43.730867839)}"
8,1031,Cedarbrae Day Nurseries (20 Greencrest),Commercial Agency,20 GREENCREST CIRCT,M1G 1B8,24,(416) 431-2504,High Rise Apartment,Greencrest Property,0,0,16,0,30,46,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.2234312468, 43.7583695279)}"
9,1037,Tiago Avenue Community Child Care,Non Profit Agency,145 TIAGO AVE,M4B 2A6,19,(416) 285-5644,Public Elementary School,Victoria Park Public School,0,0,21,0,30,51,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.2981539649, 43.7126977771)}"
10,1041,Ledbury Park Child Care Program,Non Profit Agency,95 FALKIRK ST,M5M 4K1,8,(416) 782-2539,Public Elementary School,Ledbury Park Public School,0,0,24,52,105,181,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.427182305, 43.727425311)}"
11,1044,Alderwood Action After School,Non Profit Agency,544 HORNER AVE,M8W 2C2,3,(416) 259-7738,Public Elementary School,Sir Adam Beck School,0,15,32,52,90,189,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.548275664, 43.601781231)}"
12,1045,Children's Village Day Care Centre #1,Commercial Agency,1050 MARKHAM RD,M1H 2Y7,24,(416) 438-3355,High Rise Apartment,,10,10,32,12,30,94,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.231567533, 43.774364871)}"
13,1046,Ferncliff Daycare And After School Group,Non Profit Agency,128 FERN AVE,M6R 1K3,4,(416) 588-1463,Public Elementary School,Ferncliff Public School,0,0,32,52,80,164,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.446112847, 43.645180313)}"
14,1055,Balmy Beach Community Day Care Centre,Non Profit Agency,14 PINE AVE,M4E 1L6,19,(416) 698-5668,Public Elementary School,Balmy Beach Public School,0,0,24,39,75,138,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.28982694300001, 43.676435913)}"
15,1059,Elder Tree Montessori,Commercial Agency,46 MIMICO AVE,M8V 1R1,3,(416) 255-4748,Commercial Building,Memorial Hall 1916-1918,0,10,14,0,0,24,N,06JUN22,"{'type': 'Point', 'coordinates': (-79.4915046399, 43.6135977019)}"
16,1060,Braeburn Woods Day Care Centre,Non Profit Agency,15 TANDRIDGE CRES,M9W 2N8,1,(416) 745-9472,Public Elementary School,Braeburn Junior School,0,10,16,25,30,81,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.548863811, 43.728029826)}"
17,1065,Network Child Care Services - Child's Nest Early Learning Centre,Non Profit Agency,121 COSBURN AVE,M4J 2L1,14,(416) 530-0722x4070,House,,20,20,0,0,0,40,Y,06JUN22,"{'type': 'Point', 'coordinates': (-79.3473897066, 43.6894844926)}"
